co_ref,prospect_renewal_date,cutoff_date,renewal_year,churn_14,prospect_outcome,tenure_years,payment_method,band,proforma_auto_renewal,proforma_world_pay_token,total_spent,avg_payment,num_payments,last_payment_date,days_since_last_payment,total_calls,last_call_date,price_discussions,discount_requests,calls_last_7,calls_last_14,calls_last_30,days_since_last_call,recent_call_ratio,total_cc_calls,last_cc_call,total_complaints,customer_issues,pricing_mentions,avg_cc_sentiment,cc_calls_last_30,days_since_last_cc_call,repeat_call_ratio,total_interactions,interactions_14_days,pre_renewal_interactions,complaints,negative_experience,support_issues,financial_stress,price_dissatisfaction,avg_sentiment,agent_followups,last_moment_engagement_ratio,engagement_score
VT6174,2024-11-05,2024-10-22,2024,0,Won,3.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-09,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VD3828,2025-08-09,2025-07-26,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-07-15,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,1.0,50.0,2.0,0.3333333333333333,3
DV8120,2025-03-12,2025-02-26,2025,0,Won,10.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-13,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1.0,1.0,0.0,0.0,0.0,50.0,2.0,0.5,3
FP1608,2024-11-08,2024-10-25,2024,0,Won,7.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-15,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UP7099,2025-04-04,2025-03-21,2025,0,Won,3.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,7.0,2025-03-11,0.0,0.0,0.0,1.0,1.0,10.0,0.14285714285714285,1.0,2024-11-08,0.0,0.0,0.0,50.0,0.0,133.0,0.0,3,1,0,0.0,1.0,1.0,0.0,0.0,65.0,8.0,0.3333333333333333,2
FF9526,2025-09-10,2025-08-27,2025,0,Won,6.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,3
OV0744,2025-09-05,2025-08-22,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-08-12,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.5,2
SL0135,2025-09-04,2025-08-21,2025,0,Won,6.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,4.0,2025-08-20,0.0,0.0,1.0,1.0,1.0,1.0,0.25,2.0,2025-02-10,2.0,0.0,0.0,82.5,0.0,192.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.25,3
XN5284,2025-08-12,2025-07-29,2025,0,Won,15.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.3333333333333333,2
RZ3240,2025-02-09,2025-01-26,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,9.0,2025-01-13,0.0,1.0,0.0,1.0,1.0,13.0,0.1111111111111111,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HZ9981,2025-05-06,2025-04-22,2025,0,Won,3.0,BACS,Band C1,True,False,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1.0,1.0,1.0,0.0,0.0,50.0,4.0,0.0,1
CP3008,2025-02-06,2025-01-23,2025,0,Won,7.0,BACS,Band C1,True,False,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HM8968,2025-01-11,2024-12-28,2025,0,Won,3.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-12-16,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MM5057,2025-07-11,2025-06-27,2025,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-06-16,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,80.0,6.0,0.3333333333333333,2
NU4078,2025-05-10,2025-04-26,2025,0,Won,5.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2025-04-17,1.0,0.0,0.0,2.0,2.0,9.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,5.0,0.3333333333333333,2
EC8393,2025-07-10,2025-06-26,2025,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.3333333333333333,2
FR8342,2025-03-07,2025-02-21,2025,0,Won,3.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-11,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GA5137,2025-09-02,2025-08-19,2025,0,Won,1.0,CARD,Band C1,True,False,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,2.0,1.0,1.0,0.0,50.0,7.0,0.25,3
ZS3708,2025-08-01,2025-07-18,2025,0,Won,2.0,CARD,Band C1,True,True,889.0,889.0,1.0,2024-08-01,351.0,1.0,2025-07-07,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.5,2
NO8497,2025-07-12,2025-06-28,2025,0,Won,6.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-06-27,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,65.0,4.0,0.3333333333333333,2
UM1983,2025-09-05,2025-08-22,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.3333333333333333,2
DX9231,2024-11-01,2024-10-18,2024,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-07,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JF2317,2025-04-04,2025-03-21,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,3.0,2025-03-10,0.0,0.0,0.0,3.0,3.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,65.0,4.0,0.25,3
CV3569,2025-04-12,2025-03-29,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-03-19,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.3333333333333333,3
DU6590,2024-11-01,2024-10-18,2024,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-10,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RT2404,2025-03-01,2025-02-15,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,3.0,2025-02-13,0.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UY2868,2025-05-06,2025-04-22,2025,0,Won,3.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,6.0,2025-04-09,0.0,0.0,0.0,1.0,1.0,13.0,0.16666666666666666,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.5,2
SG2504,2025-03-12,2025-02-26,2025,0,Won,7.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,5.0,2024-04-29,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KZ9678,2025-09-03,2025-08-20,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-08-07,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,1.0,1.0,0.0,0.0,33.333333333333336,8.0,0.25,3
ZO1829,2025-06-06,2025-05-23,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-05-12,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.3333333333333333,2
CP1006,2025-07-12,2025-06-28,2025,0,Won,5.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-08,0.0,0.0,0.0,85.0,0.0,232.0,0.0,2,0,1,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,1
DZ0893,2025-05-02,2025-04-18,2025,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2025-04-07,0.0,0.0,0.0,1.0,1.0,11.0,0.5,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,90.0,3.0,0.5,2
TE5069,2025-09-04,2025-08-21,2025,0,Won,1.0,CARD,Band C1,True,False,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.3333333333333333,3
NC6791,2025-02-01,2025-01-18,2025,0,Won,1.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-01-06,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NX1289,2025-01-03,2024-12-20,2025,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-12-10,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ET3126,2026-01-10,2025-12-27,2026,0,Won,7.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-12-15,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,1.0,2.0,2.0,0.0,1.0,80.0,2.0,0.25,3
SF9350,2025-10-09,2025-09-25,2025,0,Won,8.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-09,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.3333333333333333,2
PI9101,2025-03-10,2025-02-24,2025,0,Won,10.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-18,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JG4983,2025-10-09,2025-09-25,2025,0,Won,8.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-09-12,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.5,2
FA6838,2025-03-10,2025-02-24,2025,0,Won,4.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-19,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LB6910,2025-11-10,2025-10-27,2025,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-10-14,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.5,2
CX2052,2025-08-02,2025-07-19,2025,0,Won,2.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,3.0,2025-07-08,0.0,0.0,0.0,1.0,1.0,11.0,0.3333333333333333,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1.0,1.0,1.0,0.0,0.0,65.0,2.0,0.3333333333333333,2
OJ9237,2025-03-10,2025-02-24,2025,0,Won,4.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-11,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
XB1438,2025-11-11,2025-10-28,2025,0,Won,4.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-10-21,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.3333333333333333,2
DU6590,2025-11-01,2025-10-18,2025,0,Won,2.0,CARD,Band C1,True,True,919.0,919.0,1.0,2024-11-01,351.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.3333333333333333,2
KV6230,2025-11-01,2025-10-18,2025,0,Won,3.0,CARD,Band C1,True,True,1099.0,1099.0,1.0,2024-11-01,351.0,8.0,2025-10-09,1.0,0.0,0.0,1.0,1.0,9.0,0.125,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,1.0,1.0,0.0,0.0,50.0,2.0,0.5,2
PB6572,2025-07-06,2025-06-22,2025,0,Won,2.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-06-13,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.3333333333333333,3
DL6834,2025-12-11,2025-11-27,2025,0,Won,16.0,CARD,Band E,True,True,0.0,0.0,0.0,Unknown,0.0,4.0,2025-11-19,0.0,0.0,0.0,1.0,1.0,8.0,0.25,1.0,2025-04-08,0.0,0.0,0.0,100.0,0.0,233.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.3333333333333333,2
WZ9394,2025-06-02,2025-05-19,2025,0,Won,2.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2025-05-07,0.0,0.0,0.0,1.0,1.0,12.0,0.5,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.3333333333333333,2
BI8284,2025-04-09,2025-03-26,2025,0,Won,5.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-03-13,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3333333333333333,2
BZ4699,2025-08-09,2025-07-26,2025,0,Won,3.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-07-14,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,0.5,2
JV4871,2025-11-02,2025-10-19,2025,0,Won,4.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-10-06,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,2
XD3179,2025-10-12,2025-09-28,2025,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-09-15,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,1.0,0.0,0.0,0.0,50.0,4.0,0.5,2
KY1476,2026-01-09,2025-12-26,2026,0,Won,2.0,CARD,Band C1,True,True,0.0,0.0,0.0,Unknown,0.0,5.0,2025-12-15,0.0,0.0,0.0,1.0,1.0,11.0,0.2,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,2.0,1.0,1.0,0.0,50.0,6.0,0.25,3
MB3039,2025-03-09,2025-02-23,2025,0,Won,7.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-18,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
QW2364,2025-03-08,2025-02-22,2025,0,Won,2.0,CARD,Band E,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-02-12,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UR0022,2025-02-09,2025-01-26,2025,0,Won,8.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2025-01-15,0.0,0.0,0.0,2.0,2.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PP8736,2024-11-05,2024-10-22,2024,0,Won,4.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-09,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZS6620,2024-11-02,2024-10-19,2024,0,Won,4.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-07,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MI6001,2025-01-03,2024-12-20,2025,0,Won,5.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-12-13,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VI0199,2024-12-12,2024-11-28,2024,0,Won,2.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UK3752,2024-12-07,2024-11-23,2024,0,Won,4.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2024-11-19,0.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KV6230,2024-11-01,2024-10-18,2024,0,Won,2.0,CARD,Band C2,True,False,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-18,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AA7637,2025-02-04,2025-01-21,2025,0,Won,3.0,CARD,Band E,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-01-20,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CP1467,2025-02-01,2025-01-18,2025,0,Won,8.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-01-07,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NH0173,2025-01-04,2024-12-21,2025,0,Won,2.0,CARD,Band E,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-12-09,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UR2474,2024-12-08,2024-11-24,2024,0,Won,4.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-11-13,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JV4871,2024-11-02,2024-10-19,2024,0,Won,3.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2024-10-08,0.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MB3039,2026-03-09,2026-02-23,2026,0,Won,8.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2026-02-11,1.0,0.0,0.0,1.0,1.0,12.0,0.5,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,4
ST8431,2025-07-01,2025-06-17,2025,0,Won,1.0,CARD,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-06-04,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,0.0,0.0,0.0,75.0,3.0,0.25,3
HA0032,2025-11-11,2025-10-28,2025,0,Won,1.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-10-27,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.3333333333333333,2
KZ6925,2025-08-07,2025-07-24,2025,0,Won,1.0,WORLD PAY,Band C2,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-07-14,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,1.0,1.0,1.0,0.0,0.0,56.666666666666664,3.0,0.25,3
GM8015,2025-11-05,2025-10-22,2025,0,Won,1.0,CARD,Band E,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-10-13,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1.0,1.0,1.0,0.0,0.0,50.0,2.0,0.0,0
HE7047,2025-12-12,2025-11-28,2025,0,Won,1.0,CARD,Band D,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2025-11-20,0.0,0.0,0.0,2.0,2.0,8.0,1.0,1.0,2025-11-03,0.0,0.0,1.0,90.0,1.0,25.0,1.0,3,1,0,0.0,0.0,0.0,0.0,0.0,65.0,4.0,0.3333333333333333,2
